movieId,rating,tag
244,5.0,
389,5.0,
476,5.0,
650,5.0,death of husband|evil priest|mother daughter reunion|reunion|shipwreck
834,5.0,african american|beach|mercedes|obesity|summer|volleyball
1168,5.0,animal horror|dog|lycanthrope|norse mythology|werewolf
1360,5.0,Criterion|Cannes
1525,5.0,american football|chinese food|kangaroo|mythology
1890,5.0,
2049,5.0,Disney
2623,5.0,high school|prom
2778,5.0,erotic thriller|love|police|police psychologist|telephone
3229,5.0,novelist|suspense
3352,5.0,crime|drama|hardboil|neonoir|noir
4182,5.0,dance|gang|gangster|teenager
4451,5.0,independent film
4926,5.0,
5344,5.0,adultery|beach|burglar|criminal|diary|motorcycle|romance|seduction|sexual fantasy|suspense
5484,5.0,
5828,5.0,
5920,5.0,belmondo|sport
6049,5.0,based on novel or book
6124,5.0,escaped convict|kidnapping|neglect|police|politician|ransom|runaway
6258,5.0,cabaret dancer|Criterion|prostitute
6335,5.0,independent film|suspense
6500,5.0,dracula|gothic horror|hammer horror|satanist|scotland yard|vampire|van helsing
6716,5.0,
6871,5.0,
7282,5.0,
7446,5.0,
7774,5.0,life in the woods|mountain|survival|awkward
8504,5.0,engineer|free spirit|midlife crisis|stranger
8829,5.0,
9013,5.0,Criterion
25932,5.0,artist|holiday|portrait|scotland|thunderstorm|film noir
26096,5.0,abortion|bigotry|catholic priest|faith|faith tested|priest|world war i|world war ii
26202,5.0,based on novel|based on novel or book|class differences|jealousy|prostitution|surrealism|interior|soundtrack
26369,5.0,Criterion|dominatrix|eroticism|thief|wine
26411,5.0,
26964,5.0,
27306,5.0,independent film
27525,5.0,woman director
27603,5.0,brazil|murder|piglet
27799,5.0,
27841,5.0,bible|christian|god|jesus christ|last supper|miracle|sermon on the mount
31030,5.0,immigrant|love|norwegian
31032,5.0,found footage
33945,5.0,Criterion
34170,5.0,dog|invention|robot|strength|x-ray
34330,5.0,anarchist|madrid|squatter|street artist|street theater|theatre group
36477,5.0,flashback|independent film|wedding
36539,5.0,
38473,5.0,
38884,5.0,farm life|maryland|rural setting|tax collector|tax inspector|taxes
41912,5.0,autonomy|rural setting|sibling relationship|success|sweden
42556,5.0,arizona|chinese man|circus|loch ness monster|magic|medusa|railroad|yeti
43518,5.0,biography
43828,5.0,woman director
43853,5.0,hit-and-run
44763,5.0,brother|child hero|fictional place|loss of loved one|sibling relationship|single parent|socially deprived family|sweden|based on a book
46258,5.0,court case
47606,5.0,boarding school|lighthouse keeper   |orphanage
47902,5.0,daughter|homesteaders|ranchers
48458,5.0,buskers|friends|london theater district|pickpocket|street performers
50533,5.0,bible|cow|faith|independent film|meal|meditation|monastery|monk|season
52189,5.0,bakery|best friend|copenhagen|drugs|falling in love|friendship|lone wolf|loser|new love|parent child relationship|referee|society
52413,5.0,balkan war|film director|homer|sarajevo|the odyssey
52617,5.0,
52938,5.0,balloon|claymation|comet|halley's comet|portal|stowaway
55050,5.0,addiction|anthropology|billionaire|dysfunctional family|money|single mother|summer|violence|wealthy
56561,5.0,buddhist|buddhist monk|china|dalai lama|faith|lhasa|religious education
56602,5.0,afterlife|bombing|explosion|fate|ship|ship passengers
59805,5.0,brazilian|cinema novo
59945,5.0,silent film|Library of Congress|National Film Registry
60343,5.0,army colonel|auld lang syne|little girl
62851,5.0,
66854,5.0,woman director
68339,5.0,1970s|disco|independent film|new york|platos retreat|swinging
68517,5.0,Esperanto
68544,5.0,
70541,5.0,based on novel or book|bathing|forbidden love
70656,5.0,sport
71027,5.0,marriage
71522,5.0,independent film|Nepal
71558,5.0,agent|hollywood|movie business
71591,5.0,pirate
71743,5.0,love|parade|procession|social satire|vienna austria
72678,5.0,
72899,5.0,unsimulated sex
72915,5.0,short
73031,5.0,
74538,5.0,teacher|teachers and students
75335,5.0,adultery|korea|pregnancy|sex|woman director
77891,5.0,independent film|woman director
77985,5.0,human relationship
78235,5.0,
78381,5.0,
79195,5.0,bollywood
79596,5.0,drug smuggling|film noir|hitman
79765,5.0,
79901,5.0,
81305,5.0,butcher|gay|gay relationship|jerusalem|jew|jewish|orthodox
81396,5.0,hollywood|newspaper|pre-code|publicity|comedy|drunkeness|impersonation|jealousy|motherhood|orphanage|romance
82467,5.0,duel|england|king|prison|suppressed past|might like
84226,5.0,
84871,5.0,gambling|singer
85012,5.0,brazilian|classic|drama
85389,5.0,factory girl|shipping magnate|might like
86151,5.0,communication|Criterion|gorilla|sign language|zoo
86862,5.0,rags to riches|historical
86904,5.0,desert|escaped convict|family in peril|family vacation|film noir|fugitive|mexico|murderer|police pursuit|race against time|rescue from drowning|secluded beach|valiant wife|young boy
87207,5.0,
87258,5.0,cold war|film noir|no dialog|spying|suspense
87383,5.0,musical
87683,5.0,bigotry|divorce|female homosexuality|loss of loved one|real estate agent|secret love|sexual awakening|woman director
87798,5.0,gypsy|hungary|pre-code|temptress|windmill
88059,5.0,
88471,5.0,head nurse|hospital
88480,5.0,
90556,5.0,
90561,5.0,adoption|family relationships|neighbor|singing|woman director
90570,5.0,child soldier|nicaragua|tv movie
90823,5.0,band|drummer|guitar|guitarist|independent film|monkey
91741,5.0,blindness and impaired vision|hamburg germany|new love|road movie|russia|sense of life|theater director|therapist
91770,5.0,
92136,5.0,
92321,5.0,musical|rio de janeiro
94471,5.0,duringcreditsstinger
94801,5.0,b movie|bank robber|bank vault|brazil
95296,5.0,duringcreditsstinger
95305,5.0,category iii
96530,5.0,
96545,5.0,Criterion|classic|Gilbert & Sullivan|mistaken identity|musical|Comic opera
97332,5.0,
98189,5.0,new girl at school|school|schoolgirl|vampire|woman director
98443,5.0,
98911,5.0,bdsm|kink
99337,5.0,
